s1_id,name,addr,country,pred_cid,cand_name,cand_addr,score,num_candidates,error_type
S1-108888121,wildlife initiative,487 medford street  malden  ma,US,S3-911246220,wildlife initiative,quaker meeting house rd  east sandwich  massachusetts,0.79,35,same_name_different_addr
S1-109472442,3511 jefferson place owners corp,1312 elm street  hillsboro  tx,US,S3-150882066,3511 jefferson place owners corp llc,texas  1319 elm st  hillsboro,0.8272,10,approx_name_match
S1-110611206,cruz services,21 rigney drive  terre haute  in,US,S2-730500590,cruz services,,0.79,55,same_name_different_addr
S1-111779430,paus,705 briarcliff court  spokane  wa,US,S3-165974056,paus,richmond ave  manassas  virginia,0.79,41,same_name_different_addr
S1-112329223,interfaith society of north greenbush,11 thompson court  north greenbush  ny,US,S3-888097672,interfaith society of north greenbush ltd,13 thompson ct  north greenbush  new york,0.566,7,approx_name_match
S1-112815280,tri state advanced logistics,ky  saint matthews  1104 abbeywood rd,US,S3-283680601,tri state  advanced logmihstccs corp,1105 abbeywood rd  st matthews  kentucky,0.6031,37,approx_name_match
S1-112847928,tri state project,464 willow drive  elkton  md,US,S2-445766694,tri state project,6918 fountain park dr  glenndale  md,0.5833,16,same_name_different_addr
S1-113609631,ridge initiative,549 handy lane  ashland  il,US,S2-239974837,ridge  initiative,luce creek cir  greenwood  in,0.7841,53,approx_name_match
S1-113925733,saree beach avalanche corp,oh  columbus  396 colonial avenue,US,S2-791725070,saree beach avalanche llc,iron springs dr  houston  tx,0.7559,32,approx_name_match
S1-114141541,signature logistics global llc,city of adams  wi  316 walker street,US,S3-439571768,signature logistics global  llc,,0.8468,2,approx_name_match
S1-114437308,premier mortgage brands,45 gladstone street  boston  ma,US,S3-785774623,premier mortgage brands llc,54  gladstone st  boston  massachusetts,0.5334,1,approx_name_match
S1-115264500,bernardina sheldon signature motor llc,antioch  il  801 cunningham drive,US,S3-264305853,bernardina shlgdn signature motor corp,806 cunningham dr  antioch  illinois,0.6252,34,approx_name_match
S1-116570057,miller  perry and cowing inc,salisbury  465 jesse safrit road  nc,US,S2-853737501,miller  perry and cowing summit inc,474 jesse safrit road  null  salisbury  nc,0.8296,25,approx_name_match
S1-117226837,4674 market road apartments,295 bright alcov court  lavon  tx,US,S3-654776673,4674 market road apartments group,297 bright alcov ct  lavon  texas,0.5384,29,approx_name_match
S1-118682036,continental software partners kannapolis,500 24th street  kannapolis  nc,US,S2-777233289,continental software partners kannapolis corp,507 24th st  kannapolis  nc,0.5989,24,approx_name_match
S1-119207789,pediatric dental advanced clinic llc,red oak  916 lasalle drive  tx,US,S3-903134172,pediatric dental advanced clinic ltd,rde oak city  texas  921 lasalle dr  pmb 3905,0.8293,1,approx_name_match
S1-119641907,cardiology blue health,141 irish court  mount washington  ky,US,S2-57903388,cardiology blue health ltd,162 irish ct  ky  mount washington,0.5743,1,approx_name_match
S1-120199839,halcay skin care,n8894 boat landing road  town of middle inlet  wi,US,S2-977724792,halcay skin care ltd,n8901 boat landing rd  wi  wausauke,0.8373,63,approx_name_match
S1-122711791,human rights ministries,153 butler road  quincy  ma,US,S3-788470142,human rights ministries,,0.79,13,same_name_different_addr
S1-125725978,cardiology center of bloomfield,bloomfield  in  1261 100,US,S3-123221404,cardiology center of bloomfield coastal,7265 100  bloomfied  indiana,0.7523,28,approx_name_match
S1-127324470,new life baptist church,612 loch haven road  nc  rockingham,US,S2-466119700,new life baptist church,or  325 beverly ln  gladstone,0.79,10,same_name_different_addr
S1-129564154,duke publishing llc,21 valley view road  brookfield  ct,US,S2-248364073,duke publishing uptown llc,30  valley view rd  brookfield  ct,0.5391,4,approx_name_match
S1-129717515,blue hair studio,16 wooten road  al  alabaster,US,S3-825100102,blue hair studio,,0.79,58,same_name_different_addr
S1-129854205,tri state advanced farmers llc,ma  chelsea  64 grove street  unit 2,US,S2-232109543,tri state advanced farmers holdings,chelsea    66 grove st  ma,0.8563,1,approx_name_match
S1-129918610,happy tavern,1699 jenkins mill road  conway  nc,US,S2-356701959,happy tavern,day circle  goldsboro  nc,0.8067,81,same_name_different_addr
S1-130431029,beth methodist church,virden  1141 springfield street  il,US,S2-546911515,beth methodist church,54891 tulip road  new carlisle  in,0.79,65,same_name_different_addr
S1-131242715,heritage association,371 stonegate circle  billings  mt,US,S2-712933086,heritage association,,0.79,35,same_name_different_addr
S1-131384073,main street bike shop,994 chestnut ridge road  wv  unit 306  morgantown,US,S3-986524238,main street bike shop,,0.79,39,same_name_different_addr
S1-131636852,ironworkers local union 868,318 windsor ridge  neshannock township  pa,US,S2-937828814,ironworkers local  nion 868,hawkins road  brookhaven  ny,0.6546,54,approx_name_match
S1-131915714,kesteus home care  llc,15149 lorain avenue  cleveland  oh,US,S3-738055795,kesteus home care  llc,ciicero city  8262 brewerton road  new york,0.79,60,same_name_different_addr
S1-132049139,downtown ice cream,12509 hammersmith court  charlotte  nc,US,S3-890671557,downtown ice cream,kinston  2612 turnage drive  north carolina,0.79,60,same_name_different_addr
S1-132296779,board of housing,1686 rueger street  virginia beach city  va,US,S2-466636523,board of housing llc,atlantic ave  virginia beach  va,0.7912,27,approx_name_match
S1-133197854,new life baptist church,1 wesley park  hamilton  ma,US,S2-466119700,new life baptist church,or  325 beverly ln  gladstone,0.79,10,same_name_different_addr
S1-133270542,hensley  vann   ramos earth llc,6 cooley drive  woburn  ma,US,S2-308156050,llc helmuth  vann   ramos earth,6 cooley drive  woburn  ma,0.705,33,approx_name_match
S1-133993722,neex llc,southlake  300 davis boulevard  tx,US,S2-304921677,neex  llc,milwaukie  or  12200 mcloughlin blvd,0.8556,18,approx_name_match
S1-134338461,gunter  henderson   presley occupational therapy llc,13210 twelfth street  chino  ca,US,S3-89661299,halohaloiri f k a janette chaffee stifel llc,13210 twelfth street  chino  ca,0.5699,39,approx_name_match
S1-134719989,mw metropolitan private,105 mineola avenue  valley stream  ny,US,S2-397259385,mw metropolitan  private,lower allen township  pa  106 lancaster blvd,0.7858,50,approx_name_match
S1-135581802,joyner vanguard pharmaceuticals,305 chandler street  russiaville  in,US,S2-686050899,the joyner vanguard pharmaceuticals holdings,russiaville  309 chandler street  in,0.7922,24,approx_name_match
S1-135793895,commission on labor,4702 hwy 96  lavaca  ar,US,S2-939494640,commission on  labor,in  5940 250  paris crossing,0.785,40,approx_name_match
S1-135919349,vivue capital pc,851 todd drive  simpsonville  ky,US,S2-367115282,onyxnex  capital inc,851 todd dr  simpsonville  ky,0.5523,72,approx_name_match
S1-13718540,garonet unified ventures inc,5686 caratoke highway  poplar branch  nc,US,S2-921620170,garonet unified ventures valley inc,5688 caratoke hwy  nc  poplar branch,0.5586,37,approx_name_match
S1-1376476,st  fellowship,md  1600 churchville road  bel air,US,S2-326301103,st fellowship corp,oh  4516 navarre rd  canton,0.7607,37,approx_name_match
S1-138540696,brick  miller   west inc,47 beam hill road  unit apartment 11  dryden  ny,US,S2-832370092,brick  miller   west inc,,0.79,19,same_name_different_addr
S1-139316100,vanet llc,377 parker street  springfield  ma,US,S2-51305577,vanet,forge hill road  franklin township  ma,0.7039,33,approx_name_match
S1-139690965,internal medicine care associates of silver spring,10005 brookmoor drive  silver spring  md,US,S2-291935167,internal medicine care associates of silver spring ltd,10012b brookmoor dr  silver spring  md,0.896,30,approx_name_match
S1-143020032,national preparatory academy,6 cherrierville road  fairfax  vt,US,S2-640149839,national preparatory academy,wa  newcastle  70th street,0.79,14,same_name_different_addr
S1-14392349,trull pinnacle apex inc,8421 fawncrest drive  raleigh  nc,US,S3-209207886,lopez pinnacle apex  inc,8421 fawncrest drive  raleigh  north carolina,0.6165,19,approx_name_match
S1-144235132,pipefitters union local no 477,ma  10 marlowe street  boston,US,S3-470150207,pipefitters union local no 477 holdings,boston  031 marlowe st  massachusetts,0.8438,21,approx_name_match
S1-145164196,cultural committee,wheelersburg  2031 lick run lyra road  oh,US,S3-777516373,cultural committee,tennessee  2703 comer drive  murfreesboro,0.85,49,same_name_different_addr
S1-145274036,williams pampa inc,ct  new canaan  229 old norwalk road,US,S2-240175945,williams pampa inc,mn  pmb 5844  minneapolis cdp  killdeer street,0.85,1,same_name_different_addr
S1-147489925,interstate efes llc,wi  9606 pigeon lake road  town of liberty,US,S2-758707130,interstate efes,,0.7638,32,approx_name_match
S1-14860531,empire cherry llc,45 alydar dr  bldg x  north liberty  ia,US,S3-878132578,empire cherry  west llc,bldg x  iowa  north liberty  46 alydar dr,0.8091,10,approx_name_match
S1-149013121,bb fashion,831 anderson drive  alford  fl,US,S3-294352110,bb fashion,arkansas  maumelle  114 diamond pointe dr,0.805,32,same_name_different_addr
S1-149400693,lucky grill,1313 183rd avenue  bldg club hse  bellevue  wa,US,S2-258421223,lucky grill,13244a 108st st  redmonnd  wa,0.8025,38,same_name_different_addr
S1-150125642,rapid highland commerce inc,4623 hackney road  nc  rocky mount  bldg 10,US,S2-274627542,rapid highland  commerbec downtown inc,rocky mount  po box 3951  4626 hackney road  nc,0.6236,25,approx_name_match
S1-151118956,caredyne inc,202 larchmont court  burgaw  nc,US,S3-344489574,caredyne  llc,north carolina  209 larchmont ct  burgaw,0.7759,1,approx_name_match
S1-154046330,red tavern llc,10992 altadena avenue  fl 1  scottsdale  az,US,S2-12292998,red tavern llc,phyllis place  queen creek  az,0.8036,71,same_name_different_addr
S1-154350939,loria padilla wave llc,13440 44th street  az  phoenix  unit 1053,US,S2-714893630,montola monbitle llc,13440 44th street  phoenix  az,0.53,76,approx_name_match
S1-155592575,atlantic york,1612 camino rio  farmington  nm,US,S3-576570298,atlantic york uptown,null   new mexico  farmington  1613 camino rio,0.7622,34,approx_name_match
S1-156573085,desert cartesian pllc,14819 staytonville road  lincoln  de,US,S2-738916089,llc desert cartesian,de  lincoln  14820 staytonville rd,0.6221,11,approx_name_match
S1-159286607,magda west consulting,7909 johnson avenue  lanham  md,US,S2-901645121,magda wsft consulting harbor,md  lanham  7920 johnson avenue,0.6733,98,approx_name_match
S1-159641697,bureau of finance inc,1048 webster avenue  il  chicago,US,S3-3757866,bureau of finance,natoma ave  chicago  illinois,0.7838,38,approx_name_match
S1-162206287,saint fellowship,1422 25th street  douglas  az,US,S2-440090753,saint fellowship,oh  7279 1 2 rita lane  cincinnati,0.79,40,same_name_different_addr
S1-1625901,linosoft nano,3440 taconic state parkway  east fishkill  ny,US,S3-56356915,linosoft nano,new york  gloversville  eighth ave,0.79,13,same_name_different_addr
S1-163451102,bay industries inc,2527 broad street  fl 2  columbus  oh,US,S2-465754941,bay industries inc,cottage trail  grants  nm,0.79,5,same_name_different_addr
S1-167144874,maire gabriel  dpm  p c,nc  mineral springs  6517 schaeffer farm road,US,S2-569944665,gabriel   maire dpm  p c  holdings,6524 schaeffer farm rd  waxhw  nc,0.6612,50,approx_name_match
S1-167764433,jordan ross  dpm  m d   p c,2101 9th street  wahpeton  nd,US,S2-403515360,jordan ross  dpm  m d   p c  co,2105 9th street  wahpeton  nd,0.5933,20,approx_name_match
S1-168874379,smith twelve of peosta lp,ia  8182 new melleray road  peosta,US,S2-174900303,gaines gaines twelve of peota lp  43820,8195  new melleray road  peosta  ia,0.5572,76,approx_name_match
S1-172380327,alvarez  cunningham and chase llc,5901 hannum  gillette  wy,US,S3-194368838,alvarez cunningham and chase corp,wyoming  gillette  05906 hannum,0.7665,16,approx_name_match
S1-172544970,prairie partners llc,1011 gurney drive  richmond  in,US,S3-99758050,prairie partners llc,arizona  7667 woolsey way  rio verde,0.79,23,same_name_different_addr
S1-173167731,family institute group,8031 orlando drive  fl 0  saint louis  mo,US,S2-80961644,family institute group llc,08042 orlando drive  saint louis  mo,0.5504,42,approx_name_match
S1-173772756,davidson  silva   dunham corp,92 main street  elliott  ia,US,S2-716399225,davidson  silva   dunham co,99 main street  elliott city  ia,0.5488,9,approx_name_match
S1-17445367,vanguard blue black,1232 guyton drive  winston salem  nc,US,S2-981623090,vanguard blue black inc,1235 guyton dr  winston salem  nc,0.567,2,approx_name_match
S1-175035106,hagy group,203 middle road  henrietta  ny,US,S2-947593680,hagy group,,0.79,25,same_name_different_addr
S1-175515926,inna scott therapeutics,nc  charlotte  5729 kirkwynd commons drive,US,S2-511758127,scott  inna llc center,5742b kirkwynd commons drive  charllotte  nc,0.5559,51,approx_name_match
S1-175822597,office of consumer affairs,35 82 161 street  flushing  ny,US,S3-447087125,office of consumer  affairs,new york  tallwoods road  armonk,0.7863,28,approx_name_match
S1-177673766,preferred automation holdings,6350 minkler road  unit b  yorkville  il,US,S3-220167240,preferred automation,serenity drive  antioch  illinois,0.7049,38,approx_name_match
S1-179695281,sarina gentry classic enclave inc,nc  greenville  1800 stone wood drive,US,S3-18877587,sarina gentry c1assic enclave group,1805 stone wood dr  greenville  north carolina,0.6347,41,approx_name_match
S1-181270988,rachelle baros cherry llc,houston  tx  2614 keeland street,US,S3-160922168,rachelle baros cherry south  llc,2621 keeland street  houston  texas,0.7897,33,approx_name_match
S1-181439984,central apparel products llc,ks  1021 woodward avenue  topeka,US,S2-920894766,central apparel products inc,ks  1026 woodwird avenue  topeka,0.8517,1,approx_name_match
S1-181543872,corner massage llc,austin  tx  11930 shropshire boulevard,US,S2-835819441,corner massage corp,11941 shropshire blvd  austin  tx,0.8578,84,approx_name_match
S1-181567100,i f ward trading,1912 c street  paducah  ky,US,S2-59370845,i f ward trading llc,1933 1937 c street  ky  paducah,0.5396,4,approx_name_match
S1-181601700,dental center co,3230 keller hicks road  keller  tx,US,S2-682089029,dental center co,oh   5559 werk rd  cincinnati,0.8067,2,same_name_different_addr
S1-184907477,main street seafood,9625 franklin woods place  fairfax county  va,US,S2-751470939,main street seafood,fort wayne city  in  1225 w hamilton road,0.79,69,same_name_different_addr
S1-185925119,orban flexible,807 adams avenue  eveleth  mn,US,S2-281546670,orban flexible eastgate co,mn  814 adams ave  eveleth,0.811,70,approx_name_match
S1-18609645,24 hour locksmith,1300 stierlen place  burlington  wa,US,S3-872419997,24 hour locksmith,west main st  saltville  virginia,0.79,9,same_name_different_addr
S1-189385546,silver coffee,9814 elston circle  elk grove  ca,US,S2-779253362,silver coffee,kingwood avenue  mill city  or,0.79,83,same_name_different_addr
S1-191450745,silver insurance studios lp,204 aarons path  beaufort  nc,US,S2-459738787,silver insurance studios llc,11 aarons path  beaufort  nc,0.5531,17,approx_name_match
S1-192484221,myers  bowling   smiley inc,1535 1st street  rensselaer  ny,US,S3-988098021,myers  bowling   smiley inc,,0.79,4,same_name_different_addr
S1-192680067,midwest federation,2505 ferguson way  houston  tx,US,S2-993346628,midwest federation,tx  cypress  15406 15408 guadalupe springs ln  null,0.8025,23,same_name_different_addr
S1-194463168,atlantic staked,4590 stonehill street  hilliard  oh,US,S2-686665645,atlantic staked llc,4591 stonehill street  hilliard  oh,0.5361,57,approx_name_match
S1-195516135,a cure 6 all,2801 fairfax drive  garland  tx,US,S2-104103013,a cure 6 all,,0.79,36,same_name_different_addr
S1-196538850,diis llc,4621 12th avenue  birmingham  al,US,S3-927008783,diis llc,,0.79,18,same_name_different_addr
S1-196961444,frontier college,780 5th plaza  florissant  mo,US,S2-195350406,frontier college,vandalia avenue  tulsa  ok,0.79,9,same_name_different_addr
S1-197163742,south veterinary clinic,6151 sierra valle lane  city of el paso  tx,US,S2-764865525,south veterinary clinic,,0.79,8,same_name_different_addr
S1-198021096,rev it up cafe,tn  84 brown avenue  greeneville,US,S2-753500498,rev it up  cafe,,0.8433,36,approx_name_match
S1-200287905,cartwright s capital inc,471 rentschler street  akron  oh,US,S3-766927635,cartwright s capital,massachusetts  granby  145 south street,0.7539,10,approx_name_match
S1-200584281,o c vancleave utilities co,376 hall hill road  ny  ancram,US,S3-943837610,o c vancleave utilities west co,new york  ancram  389 hall hill rd,0.7515,67,approx_name_match
S1-200623120,complete translational llc,381 emerald road  mosheim  tn,US,S2-305035329,complete translational llc,in  princeton  1603 cottonwood drive,0.79,3,same_name_different_addr
S1-203737547,northern academy,2285 hemberg drive  flagstaff  az,US,S3-989380394,northern academy,,0.79,12,same_name_different_addr
S1-204979814,lian s jewelers llc,47 riverview drive  matheny  wv,US,S2-466819795,lian s jewelers westgate llc,matheny township  wv  49 riverview drive,0.7935,70,approx_name_match
S1-205317398,vanda navarro desert doubleline llc,2876 tradewinds trail  city of green bay  wi,US,S3-712069240,wellborn navarro desert doubleline  llc,wisconsin    2881 tradewinds trail  city of green bay,0.6346,84,approx_name_match
S1-205390093,continental coalition,4004 brook road  richmond city  va,US,S3-791120579,continental coalition,,0.79,20,same_name_different_addr
S1-205671173,francisca cooley direct southern llc,12256 st charles rock road  bridgeton  mo,US,S2-348775402,urgent care express spicalitts,bridgeton  12256 12258 st charles rock road  mo,0.547,38,approx_name_match
S1-206119993,126 127 east owners corp,ut  saratoga springs  2963 willow creek drive,US,S2-418418668,126 127 east owners  corp holdings,2968 willow creek drive  saratoga springs  ut,0.8769,64,approx_name_match
S1-207349649,bright tavern llc,41 greenknoll drive  brookfield  ct,US,S2-607399542,bright tavern   llc,,0.7795,51,approx_name_match
S1-207890008,gurung  turner   spruill inc,2243 river plaza drive  sacramento  unit 168  ca,US,S3-824019136,the gurung  turner   spruill highland inc,2250c river plaza drive    168  sacramento  california,0.7189,89,approx_name_match
S1-210745092,first fellowship,106 valentine drive  riverside  oh,US,S2-761074875,first fellowship,f 7 grandview drive  n a  s  burlinton  vt,0.8015,36,same_name_different_addr
S1-210863997,myrtie l  dawley  cpa  pc,summerdale  302 jackson avenue  al,US,S3-372748015,myrtie l  dawley  cpa  pc inc,303 jackson avenue  summerdale  alabama,0.8194,47,approx_name_match
S1-211984068,east academy,26608 moosehorn road  kenai peninsula borough  ak,US,S2-863481694,east  academy,lewiston  me  214 russell street,0.7823,16,approx_name_match
S1-215135349,sibeal miller select llc,3002 riverside drive  danville city  va,US,S2-581098016,sibeal miller select llc,statesman pkwy  n a  lmia  oh,0.79,36,same_name_different_addr
S1-218082193,obsidian stanley  llc,bluffton  oh  10115 rockport road,US,S2-475839074,obsidian stanley  inc,oh  richland twp  10128 rockport rd,0.8304,41,approx_name_match
S1-218890922,ulrikaumeko davis allied elm p c,hiawatha  ia  903 heefner st,US,S3-749239328,ulrikaumeko davis allied elm westgate,906 heefner st  hiawatha  iowa,0.6965,66,approx_name_match
S1-21919735,main street seafood,8822 ash meadows circle  unit  1113  wilsonville  or,US,S3-774924543,main street seafood,new york  25 linden ave  ossining,0.79,36,same_name_different_addr
S1-221057815,connors analytics,cleveland  oh  15507 stockbridge avenue,US,S2-729991849,connors  analytics,1430 55th pl  chicago  il,0.7844,11,approx_name_match
S1-221065528,liberty fund,602 mission lane  unit 208  phoenix  az,US,S2-892994864,liberty fund,schererville  1906 burgundy st  in,0.79,27,same_name_different_addr
S1-221554485,midwest fellowship,22278 river walk road  rocky river  oh,US,S3-973083623,midwest fellowship,po box 9469  fort wright  kentucky  134 morris road,0.8007,22,same_name_different_addr
S1-224886836,blue trust,313 rollins street  elizabethtown  nc,US,S2-57257303,blue trust,forest garden ln  raleigh  nc,0.8067,19,same_name_different_addr
S1-22536779,nium llc,az  5425 escondido lane  tucson,US,S2-755831400,nium llc industries,289 sabbathday rd  new gloucester  me,0.6695,34,approx_name_match
S1-229251256,peum fresh biotherapeutics inc,in  new albany  621 albany street,US,S3-139919220,peum fresh biotherapeutics llc,634 albany st  new alany  indiana,0.8034,53,approx_name_match
S1-229487021,coastal institute,il  shorewood  627 edgebrook drive,US,S2-939564845,coastal institute,713 hawthorne st  zionsville  in,0.79,19,same_name_different_addr
S1-229562737,straight edge seafood llc,400 international way  unit suite 110  springfield  or,US,S2-940098120,straight edge seafood llc,ma  peabody  1 a tomah drive,0.79,29,same_name_different_addr
S1-229881897,womens health physicians lp,100 stalling lane  erwin  tn,US,S2-918963344,womens health physicians lp,sunbury  9838  521  oh,0.79,3,same_name_different_addr
S1-229974190,united certified iron llc,621 dewald street  fort wayne  in,US,S3-940811380,united certified iron llc,dayton ave  russellville cdp  arkansas,0.79,6,same_name_different_addr
S1-230585086,back alley yoga,22 market street  ellenville  ny,US,S2-137347843,back  alley yoga,,0.7671,36,approx_name_match
S1-233585553,mala ostrander solution,bowling green  2143 fairview boiling springs road  ky,US,S2-702688239,mala ostrander solution co,2150 fairview boiling springs rd  bowling green  ky,0.8975,41,approx_name_match
S1-236196632,sissy taylor continental alpine inc,ar  drasco  349 wolf bayou road,US,S2-712548912,sissy sissy taylor continental alpine l l c,ar  drasco  362  wolf bayou rd,0.8726,100,approx_name_match
S1-236329631,little cleaning service,165 uplift  hsb llano co  tx,US,S3-904260520,little cleaning service,,0.79,25,same_name_different_addr
S1-236339811,american federation,nashville  716 arbor crest boulevard  tn  bldg 7,US,S2-311965672,american federation,5805 cr 49  mcarthur twp  oh,0.79,23,same_name_different_addr
S1-236734064,little pizza,1224 rosemary street  albuquerque  nm,US,S2-481866540,little  pizza,oh  po box 7427  cincinnati  1572 tremont street,0.7948,42,approx_name_match
S1-237272893,holy church,nc  864 fred miller road  lexington,US,S2-167055316,holy church,sagamore hills twp  688 canterbury lane  oh,0.85,22,same_name_different_addr
S1-237840103,margaretta lee cornerstone renewable,8273 main street  kinsman  oh,US,S3-89819655,margaretta  lee cornerstone renewable,virginia    6914 duke dr  fairfax county,0.7665,74,approx_name_match
S1-239294618,melantha wallace grill,8920 tr 609  oh  fredericksburg,US,S2-628583254,melantha wllbace grill harbor,fredericksburg  oh  null  8927 tr 609,0.636,76,approx_name_match
S1-24088828,tri state delta defi,wa  8419 65th circle  vancouver,US,S3-644471041,tri state delta defi corp,8426 65th cir  vancouver city  washington,0.7988,38,approx_name_match
S1-241794959,interstate family practice,10747 lakewood oaks drive  sugar land  tx,US,S2-458992828,interstate family practice,oh  warren  1892 norwodo saint,0.79,20,same_name_different_addr
S1-24274569,joeann franco smart cola p c,17947 fm 2556  santa rosa  tx,US,S3-899742861,joeann franco smart cola ltd,texas  santa rosa  17968 fm 2556,0.8233,53,approx_name_match
S1-24276280,continental holding company,8631 village way  unit ste 8631  fairfax county  va,US,S2-32138986,continental holding company,,0.79,1,same_name_different_addr
S1-245302676,elite preferred tpg  llc,il  chicago  4412 wolcott avenue,US,S2-394336785,elite preferred tpg  ltd,4417 wolcott ave  chicago  il,0.865,29,approx_name_match
S1-247498666,rozamond s frontier design,5111 royal jasmine place  katy  tx,US,S2-644488591,rozamond s frontier design,,0.79,38,same_name_different_addr
S1-247540622,lindsey  ellefson   magill,tx  2050 macarthur street  houston,US,S3-86827611,lindsey  ellefson   magill inc,houston  texas  2054 macarthur st,0.8621,49,approx_name_match
S1-248416018,hunt interstate marine,2539 old post road  havre  mt,US,S2-635509981,hunt interstate marine ltd,2544 old post rd  havre  mt,0.5743,1,approx_name_match
S1-250672429,bay fund,3724 jordan avenue  new hope  mn,US,S2-757920851,bay fund,oh  2434 saffin ave  cincinnati,0.805,27,same_name_different_addr
S1-253067611,hunger institute,514 depeyster street  kent  oh,US,S2-789052767,hunger institute,ma  leominster  11 raven street,0.8067,25,same_name_different_addr
S1-253592551,blue society,columbia city  in  1787 inverness circle,US,S3-601563612,blue society ltd,indiana  1808 inverness circle  columbia city,0.8575,14,approx_name_match
S1-254771046,cascade family office,100 peachtree lane  yakima  wa,US,S3-184436763,cascade family office llc,yakima city  washington  105 peachtree ln,0.808,2,approx_name_match
S1-255891104,new life catholic church,876 dolan road  memphis  tn,US,S2-596505628,new life catholic church,,0.79,21,same_name_different_addr
S1-256160429,the dent tattoo,cambridge  md  2709 ocean gateway,US,S2-5516607,the dent  tattoo,md  baltimore  3411 cliftmont ave,0.8604,35,approx_name_match
S1-256610384,patriot foundation llc,701 bayou drive  mountain view  ar,US,S2-56498025,patriot  foundation,ecology dr  farmington city  ar,0.757,30,approx_name_match
S1-257950514,alford   rowe,1415 c avenue  plattsmouth  ne,US,S2-260273835,alford   rowe,,0.79,8,same_name_different_addr
S1-259260521,physical therapy innovative care llc,2106 bergan street  in  south bend,US,S3-734927106,physical therapy innovative care llc,washington  6840 alder st  tacoma township,0.8036,3,same_name_different_addr
S1-260876607,cardiology,ny  4 higbie drive  islip,US,S3-542324148,llc  cardiology,15 higbie drive  west islip  new york,0.7169,10,approx_name_match
S1-261494285,pediatric dentistry clinic l l c,534 center street  ludlow  ma,US,S3-804506989,pediatric dentistry clinic l l c,,0.765,2,same_name_different_addr
S1-262476238,a 7 u pharmaceuticals lp,1215 devonwood drive  unit 101  merced  ca,US,S2-20417100,a 7 u pharmaceuticals ltd,1220 devonwood dr  merced  ca,0.5313,9,approx_name_match
S1-263168444,asset building project,209 9th street  rosebud  tx,US,S2-943324919,asset building  project,houston  tx  506 walnut bend ln,0.8007,20,approx_name_match
S1-263757906,castro   moore of gilbertsville,ky  gilbertsville  166 quail hills road,US,S3-35870313,castro   moore of gilbertsville llc,170 quail hills road  gilbertsville  kentucky,0.8405,1,approx_name_match
S1-264813028,straight edge grill,5201 704d  cleburne  tx,US,S2-438782341,straight edge grill,ct  greenwich  9 somerset ln,0.79,35,same_name_different_addr
S1-265067793,physical therapy clinic llc,md  sykesville  55 gina court,US,S3-609511844,physical therapy highland clinic llc,sykesville  maryland  57 gina ct,0.7692,34,approx_name_match
S1-265202638,internal medicine specialists of burnsville pc,890 lickskillet road  burnsville  nc,US,S2-459437663,internal medicine specialists of burnsville burnsville llc,899 lickskillet rd  burnsville  nc,0.5574,30,approx_name_match
S1-266501471,metropolitan ace national holdings,tx  lampasas  38 samac lane,US,S2-129773226,metropolitan ace national corp,tx  lampasas  51 samac ln,0.8953,2,approx_name_match
S1-267041233,smith hair studio llc,newington  71 lantern hill  ct,US,S2-449400434,smith hair studio llc,7657 connelly rd  po box 9984  masury  oh,0.79,1,same_name_different_addr
